2022-10-04 16:07:51,128 INFO    MainThread:25701 [wandb_setup.py:_flush():68] Configure stats pid to 25701
2022-10-04 16:07:51,129 INFO    MainThread:25701 [wandb_setup.py:_flush():68] Loading settings from /home/ayberk/.config/wandb/settings
2022-10-04 16:07:51,129 INFO    MainThread:25701 [wandb_setup.py:_flush():68] Loading settings from /home/ayberk/PycharmProjects/FederatedFP/wandb/settings
2022-10-04 16:07:51,129 INFO    MainThread:25701 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-10-04 16:07:51,129 INFO    MainThread:25701 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'model_training.py', 'program': '/home/ayberk/PycharmProjects/FederatedFP/model_training.py'}
2022-10-04 16:07:51,129 INFO    MainThread:25701 [wandb_init.py:_log_setup():476] Logging user logs to /home/ayberk/PycharmProjects/FederatedFP/wandb/run-20221004_160751-ctkeqj3r/logs/debug.log
2022-10-04 16:07:51,129 INFO    MainThread:25701 [wandb_init.py:_log_setup():477] Logging internal logs to /home/ayberk/PycharmProjects/FederatedFP/wandb/run-20221004_160751-ctkeqj3r/logs/debug-internal.log
2022-10-04 16:07:51,129 INFO    MainThread:25701 [wandb_init.py:init():516] calling init triggers
2022-10-04 16:07:51,129 INFO    MainThread:25701 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2022-10-04 16:07:51,129 INFO    MainThread:25701 [wandb_init.py:init():569] starting backend
2022-10-04 16:07:51,129 INFO    MainThread:25701 [wandb_init.py:init():573] setting up manager
2022-10-04 16:07:51,135 INFO    MainThread:25701 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-10-04 16:07:51,141 INFO    MainThread:25701 [wandb_init.py:init():580] backend started and connected
2022-10-04 16:07:51,147 INFO    MainThread:25701 [wandb_init.py:init():658] updated telemetry
2022-10-04 16:07:51,148 INFO    MainThread:25701 [wandb_init.py:init():692] communicating run to backend with 30 second timeout
2022-10-04 16:07:51,626 INFO    MainThread:25701 [wandb_run.py:_on_init():1974] communicating current version
2022-10-04 16:07:51,708 INFO    MainThread:25701 [wandb_run.py:_on_init():1978] got version response 
2022-10-04 16:07:51,708 INFO    MainThread:25701 [wandb_init.py:init():727] starting run threads in backend
2022-10-04 16:07:51,780 INFO    MainThread:25701 [wandb_run.py:_console_start():1954] atexit reg
2022-10-04 16:07:51,780 INFO    MainThread:25701 [wandb_run.py:_redirect():1812] redirect: SettingsConsole.WRAP_RAW
2022-10-04 16:07:51,781 INFO    MainThread:25701 [wandb_run.py:_redirect():1877] Wrapping output streams.
2022-10-04 16:07:51,781 INFO    MainThread:25701 [wandb_run.py:_redirect():1899] Redirects installed.
2022-10-04 16:07:51,781 INFO    MainThread:25701 [wandb_init.py:init():764] run started, returning control to user process
